name,year,content,
Duan Qing,2009,"""Stories behind ‘Jindou'"", in Ye Yiliang(ed.), 【Collection of Papers on Iranian Studies in China】, Beijing: Peking Universtiy Press, 2009,pp.26-36.",
段晴,2010,《梵语〈贤劫经〉残卷，兼述〈贤劫经〉在古代于阗的传布及竺法护的译经风格》，《西域历史语言研究集刊》第三辑，2010，第201-231页。,
段晴,2010,《关于古代于阗的“村”》，《张广达先生八十华诞祝寿论文集》，台北：新文丰出版公司，2010年9月，第581-604页。,
Duan Qing,2011,"""Some Fragments of the 【Saṅghāṭa-sūtra】 from the Xinjiang Museum, Urumqi"", 【Annual Report of the International Research Institute for Advanced Buddhology】, vol.XIV,2011,pp.127-134.",
段晴,2011,《德国的印度学之初与季羡林先生的学术底蕴》，《敦煌吐鲁番研究》第12卷，上海：上海古籍出版社，2011年，第1-14页。,
段晴,2011,《字里行间，汉译佛经所反映的梵文隐性现象》，《季羡林先生与北京大学东方学》，银川：阳光出版社，2011（2013)年，第252-268页。,
Duan Qing,2011,"Review:【Besprechung:Sanskrithandschriften aus den Turfanfunden】, 【Orientalistische Literaturzeitung】 105, Germany.",
段晴,2011,《宝藏遗踪——近年来和田地区新出非汉语类文书综述》，樊锦诗主编：《敦煌文献·考古·艺术综合研究》，北京：中华书局，2011年，第293－305页。,
段晴,2011,《中国国家图书馆藏BH5-3号佉卢文买卖土地契约》，朱玉麒主编：《西域文史》第6辑，北京：科学出版社，2011年，第1-12页。,
Duan Qing,2012,"""A Land Sale Contract in Kharoṣṭhī Script National Library of China Collection, No.BH5-3"", 【Annual Report of the International Research Institute for Advanced Buddhology】, vol.XV, 2012,pp.63-69.",
段晴,2012,《探径于长部》，《汉译巴利三藏·长部·序言》，上海：中西书局，2012年，第6-30页。,
段晴,2012,《译后记》，《汉译巴利三藏·长部》，上海：中西书局，2012年，第589-590页。,
段晴等译,2012,《汉译巴利三藏·长部》，上海：中西书局，2012年。,
段晴,2012,"《〈僧伽吒经〉残叶》, 刘绍刚、侯世新主编：《新疆博物馆新获文书研究》，北京：中华书局，2013年，第48页-59页。",
段晴,2012,《Hedin 24号文书释补》，新疆吐鲁番学研究院编：《语言背后的历史—西域古典语言学高峰论坛论文集》，上海：上海古籍出版社，2012年，第74-78页。,
Duan Qing,2012," ""The inscription on the Sampul Carpets,"" 【the Journal of Inner Asian Art and Archaeology】, vol.5, Brepols，2012, pp.95--100.",
 段晴、策勒县文管所,2012,《尉迟曜11年裴捺卖地案牍》，朱玉麒主编：《西域文史》第7辑，北京：科学出版社，2012年，第123-137页。,
段晴,2013,"《于阗语〈佛说一切功德庄严王经〉残叶》, 刘绍刚、侯世新主编：《新疆博物馆新获文书研究》，北京：中华书局，2013年，第60页-72页。",
段晴,2013,《中国国家图书馆藏西域文书·梵文、佉卢文卷·前言》，上海：中西书局， 2013年，第1-5页。,
段晴,2013,《中国国家图书馆藏西域文书·梵文、佉卢文卷》，上海：中西书局， 2013年。,
段晴,2013,《义净与实叉难陀》，中国人民大学国学院主编：《国学的传承与创新——冯其庸先生从事教学与科研六十周年庆贺学术文集》下册，上海：上海古籍出版社，2013年，第1109-1120页。,
段晴,2013,《〈造像功德经〉所体现的佛教神话模式》，王邦维、陈金华、陈明编：《佛教神话研究：文本、图像、传说与历史》，上海：中西书局，2013年，第83-102页。,
段晴,2013,《慈无味——无法表演的慈》，《光明日报》2013年10月28日，第12版。,
"Duan Qing and Helen Wang,",2013,"""Were Textiles used as Money in Khotan in the Seventh and Eighth Centuries?"" 【Journal of the Royal Asiatic Society】 vol. 23(April 2013), pp 307-325.",
段晴,2013,《舅卖甥女案牍所折射的于阗历史》，《中国国家图书馆藏西域文书·于阗语卷（一）》，上海：中西书局，2015年，第97-117页，图版32-38。初版见于秦大树、袁旔主编《古丝绸之路——2011年亚洲跨文化交流与文化遗产国际学术研讨会论文集》，新加坡：八方文化创作室，2013年，第33-60页。,
段晴,2013,《伏阇达五年蠲除契约案牍》，饶宗颐主编：《敦煌吐鲁番研究》第13卷，上海：上海古籍出版社，2013年，第291-304页。,
段晴,2013,《萨波Vaisa之牒所隐括的社会变迁》，刘绍刚、侯世新主编：《新疆博物馆新获文书研究》，2013年，北京：中华书局，第32-45页。,
段晴,2013,《于阗·佛教·古卷》，上海：中西书局，2013年。,
Duan Qing,2013,"""Puñadatta’s Life as Reflected in Khotanese Documents,"" под ред. С.Р. Тохтасьева и П.Б. Лурье, 【Commentationes Iranicae: Сборник статей к 90-летию Владимира Ароновича Лившица】,СПб. : Нестор-История, 2013, pp. 435-445.",
段晴,2013,《波斯帝国的历史传说》，《中国典籍与文化》（第八辑），北京：国家图书馆出版社，2013年，第101-137页。,
Duan Qing,2014,"""Indic and Khotanese Manuscripts: New Finds and Findings from Xinjiang"",
Paul Harrison and Jens-Uwe Hartmann(eds.), 【From Birch Bark to Digital Data: Recent Advances in Buddhist Manuscript Research, Papers Presented at the Conference Indic Buddhist Manuscripts: The State of the Field, Stanford, June 15–19 2009】 Beiträge zur Kultur und Geistesgeschichte Asiens, Nr.80, Denkschriften der philosophisch-historischen Klasse, 460, Vienna: Österreichische Akademie der Wissenschaften. 2014, pp. 269—278.",
Duan Qing,2014,"""Puñadatta’s contract of Sale of an estate, "" 【Annual Report of the International Research Institute for Advanced Buddhology at Soka University for the Academic Year 2013】, vol.17, 2014, pp.349-363 .",
Duan Qing,2014,"""Pledge, Collateral and Loan in Ancient Khotan,"" 【Euroasian Studies II】, Sydney: Asia Publishing Nexus Australia, 2014, pp. 249–268.",
段晴,2014,《洛浦地毯与吉尔伽美什的传说》，《华夏地理》2014年1月，第30-31页。。,
段晴,2014,《于阗文书所见古代于阗的典押制度》，饶宗颐主编：《敦煌吐鲁番研究》第14卷，上海：上海古籍出版社，2014年，第113-125页。,
段晴、李建强,2014,《钱与帛——中国人民大学博物馆藏三件于阗语—汉语双语文书解析》，《西域研究》2014年第1期，第29-38页。,
段晴,2014,《新疆洛浦县地名“山普鲁”的传说》，《西域研究》，2014年第4期，第1-8，139页。,
段晴,2014,《穿越了时空的文字》，《多浪龟兹》总第23期，2014年，第81-85页。,
段晴,2014,《于阗故地的诉说》，上海博物馆编：《于阗六篇：丝绸之路上的考古学案例》，北京：北京大学出版社，2014年，第97-121页。,
段晴,2014,《于阗文书所见古代于阗的典押制度》，《敦煌吐鲁番研究》第14卷，2014年，第113-125页。,
段晴,2015,《佉卢文世俗文书所反映的社会生活》，《中国文化报》2015年5月22日，第4版。,
段晴,2015,《于阗语〈无垢净光大陀罗尼经〉之源与流》，荣新江、朱玉麒主编：《西域考古·史地·语言研究新视野：黄文弼与中瑞西北科学考察团国际学术研讨会论文集》，北京：科学出版社，2015年，第329-338页。,
Duan Qing,2015,"""A Sanskrit Buddhist Document On Cloth of the Earlier 7th Century，"" in Yu Taishan and Li Jinxiu(eds.)，【Eurasian Studies English Edition III】, Asia Publishing Nexus , 2015，pp.171-185.",
段晴,2015,《一件来自公元6世纪的梵语世俗文书》，西藏社会科学院贝叶经研究所编：《西藏贝叶经研究》，拉萨：西藏藏文古籍出版社，2015年，第1-11页。,
段晴,2015,《裴捺的人生轨迹》，阿不都热西提·亚库甫主编：《西域—中亚语文学研究：2012年中央民族大学主办西域—中亚语文学国际学术研讨会论文集》，上海：上海古籍出版社，2015年，第80-89页。,
段晴,2015,《佉卢文世俗文书所反映的社会生活》，《中国文化报》，2015年5月22日，第4版。,
段晴,2015,《天树下娜娜女神的宣言——新疆洛浦县山普鲁出土毛毯系列研究之一》，《西域研究》，2015年第4期，第147-160+192页。,
段晴,2015,《飘带来自吉祥——反映在古代于阗画中的祆教信仰符号》，《艺术史研究》2015年第17辑，第153-166页。,
段晴,2015,《新疆山普鲁古毛毯上的传说故事》，《西域研究》，2015年第1期，第38-47+138-139页。,
段晴,2015,《于阗文书所见古代于阗的典押制度》，《敦煌吐鲁番研究》第14卷，2015年第1期，第113-125页。,
段晴,2015,《中国国家图书馆藏西域文书：于阗语卷（一）》，上海：中西书局，2015年。,
段晴,2016,《粟特商队到于阗——BH4-135之于阗文书的解读》，荣新江、罗丰主编：《粟特人在中国：考古发现与出土文献的新印证（上册）》，北京：科学出版社，2016年，第96-115页。,
段晴,2016,《萨迦牟云的家园——以尼雅29号遗址出土佉卢文书观鄯善王国的家族与社会》，《西域研究》，2016年第3期，第54-64+143页。,
段晴,2016,"《木球之喻》, 程彤主编：《丝绸之路上的照世杯：“中国与伊朗：丝绸之路上的文化交流”国际研讨会论文集》，上海：中西书局，2016年，第31-40页。",
段晴,2016,《青海藏医药文化博物馆藏佉卢文尺牍》，上海：中西书局，2016年。,
Duan Qing,2016,"""Deed, Coins and King's Title as Revealed in a Sanskrit Cloth Document from the 6 Century""，in Yu Taishan and Li Jinxiu(eds.)，Eurasian Studies English Edition IV, Asia Publishing Nexus, 2016, pp.265-283.",
 段晴、侯世新、李达,2016,《于阗语大案牍——新疆维吾尔自治区博物馆藏初唐案牍研究》，《唐研究》第22卷，2016年，第371-400页。,
Duan Qing,2017,"""Greek Gods and Traces of the Sumerian Mythology""，《丝绸之路研究》第一辑，2017年，第1-16页。",
 段晴、侯世新、李达,2018,《石汗那的婴儿——新疆博物馆藏一件新出于阗语案牍》，《敦煌吐鲁番研究》第18卷，2018年， 第265-278页。,
段晴,2018,《神话与仪式——以观察新疆洛浦博物馆氍毹为基础》，《民族艺术》，2018年第5期，第31-44页。,
程雪，段晴,2018,《〈神话与仪式——以观察新疆洛浦博物馆氍毹为基础〉问答、评议与讨论》，《民族艺术》，2018年第5期，第45-49页。,
段晴,2018,《神话的跨域性与地方性——以观察新疆洛浦博物馆氍毹为基础》，《民族艺术》，2018年第4期，第13-22页。,
"陈姵瑄,段晴等",2018,《〈神话的跨域性与地方性——以观察新疆洛浦博物馆氍毹为基础〉问答、评议与讨论》，《民族艺术》2018年第4期，第23-27页。,
段晴,2018,《〈声教所及——对纪晓岚新疆行脚的民俗回访〉序》，上海：中西书局，2018年，第1-13页。,
段晴,2018,《陌生的友邻》，《华夏地理》2018年第8期。,
段晴,2018,《精绝、鄯善古史钩沉》，余太山、李锦绣主编：《欧亚学刊》新第7辑，北京：商务印书馆，2018年，第21-34页。,
段晴,2019,《早期、晚期于阗语与方言——〈无垢净光大陀罗尼〉所反映的语言问题》，王振芬、荣新江主编：《丝绸之路与新疆出土文献——旅顺博物馆百年纪念国际学术研讨会论文集，北京：中华书局，2019年，第497-511页。,
 段晴、侯世新、李达,2019,《于阗伏阇雄时代的两件契约》，荣新江、朱玉麒主编：《丝绸之路新探索：考古、文献与学术史》，南京：凤凰出版社，2019年，第131-142页。,
段晴,2019,『カルパラージャ·スートラ』と仏塔信仰， 《東洋学術研究》第58卷，第2号（通卷183号），2019年，第65-85页。,
段晴,2020,《丝路之畔的赫尔墨斯》，《新丝路学刊》2020年第1期，第1-14页。,
段晴,2020,《专栏主持人语》，《语言学研究》2020年第2期，第3-5页。,
Qing Duan ,2020,"Foreword, Xiao Li(ed.) ,  Non-Han Literature Along the Silk Road, Silk Road Research Series, SDX Joint Publishing & Springer,  2020, pp. ix-xi.",
Qing Duan ,2020,"Book chapter:  Across-Regional and Local Characteristics of Mythologies: On the Basis of Observing the Lop Museum carpets, Xiao Li(ed.) ,  Non-Han Literature Along the Silk Road,  Silk Road Research Series, SDX Joint Publishing & Springer,  2020, pp. 1-20.",
Qing Duan ,2020,"Book chapter:  Legends and Ceremonies: Based on the Observation of the Qu Shu Collection at Xinjiang Lop Museum , Xiao Li(ed.) ,   Non-Han Literature Along the Silk Road, Silk Road Research Series,  SDX Joint Publishing & Springer,  2020, pp. 21-45.",
段晴,2020,《于阗语“四象”以及龙王“热舍”》，《语言学研究》2020年第2期，第6-14页。,
段晴,2020,《天灾人祸所生发的信仰与习俗——基于古代于阗文明的观察》，北京大学人文社会科学研究院，2020年4月20日发表，澎湃2020年5月14日转载《古代于阗天灾人祸所生发的信仰与习俗》。,
段晴,2020,《于阗王国之名新考》，《西域研究》2020年第1期，第79-89+171-172页。,
Duan Qing,2020,"Kalparāja-sūtra and Pagoda Worship, The Journal of Oriental Studies, Vol.3o,  September 2020.",
Qing Duan and Liang Zheng,2020,"Book chapter: About qushu: Carpets or Rugs with Long Hair, Xiao Li(ed.) ,   Studies on the History and Culture Along the Continental Silk Road, Silk Road Research Series,  SDX Joint Publishing & Springer,  2020,  pp.21-30",
段晴,2020,《买卖僧房舍契约》，《敦煌学》2020年第36期（张广达先生九十华诞颂寿特刊），第315-328页。,
段晴,待刊,《关于古代于阗“税”的辩考——基于策勒县文物保护管理所藏于阗语案牍所做观察》，待刊。,
段晴,待刊,《吕珎胡书——对中国国家图书馆藏西域文书BH1-17于阗语文书的释读》，待刊。,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
